window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
0,1778026740,ESM6.CME@RITHMIC,UNKNOWN,DOWNTREND,0.000266,0.0051,7307.25,7306.00,7306.75,172,False
1,1778026800,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000264,0.0043,7307.75,7305.50,7307.25,262,False
2,1778026860,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000286,0.0041,7307.25,7303.50,7303.50,452,False
3,1778026920,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000281,0.0036,7304.75,7303.25,7304.75,223,False
4,1778026980,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000284,0.0035,7306.25,7304.25,7305.25,349,False
5,1778027040,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000269,0.0033,7305.75,7305.00,7305.75,94,False
6,1778027100,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000274,0.0035,7306.25,7304.50,7305.00,198,False
7,1778027160,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000281,0.0031,7306.00,7303.50,7304.00,205,False
8,1778027220,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000286,0.0034,7304.00,7302.00,7302.25,403,False
9,1778027280,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000286,0.0038,7302.50,7301.25,7301.25,398,False
10,1778027340,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000271,0.0044,7302.50,7301.00,7301.50,329,False
11,1778027400,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000262,0.0046,7302.25,7300.75,7302.00,251,False
12,1778027460,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000264,0.0042,7303.50,7301.50,7303.50,263,False
13,1778027520,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000247,0.0034,7304.50,7303.25,7303.75,211,False
14,1778027580,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000257,0.0025,7304.50,7302.25,7303.00,210,False
15,1778027640,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000245,0.0017,7304.00,7303.00,7303.25,101,False
16,1778027700,ESM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000215,0.0011,7303.50,7302.75,7303.50,146,True
17,1778027760,ESM6.CME@RITHMIC,BALANCE,RANGE,0.000215,0.0012,7303.75,7302.25,7302.50,158,True
18,1778027820,ESM6.CME@RITHMIC,BALANCE,RANGE,0.000208,0.0011,7303.50,7302.25,7303.50,338,True
19,1778027880,ESM6.CME@RITHMIC,BALANCE,RANGE,0.000213,0.0008,7303.50,7302.25,7303.25,198,True
20,1778027940,ESM6.CME@RITHMIC,TREND_UP,RANGE,0.000205,0.0005,7303.75,7302.75,7303.25,119,True
