alert_id,symbol,direction,entry,exit,outcome,mfe,mae,r,regime,risk_score,phase2_action
REPLAY_000001,ESM6.CME@RITHMIC,LONG,7313.25,7309.25,STOP,2.75,-4.0,-1.0,BALANCE,0.3228378584627914,HOLD
REPLAY_000002,NQM6.CME@RITHMIC,LONG,28356.0,28362.0,TARGET1,6.0,-2.75,1.5,BALANCE,0.42620978200736015,HOLD
REPLAY_000003,NQM6.CME@RITHMIC,LONG,28358.5,28364.5,TARGET1,6.0,-0.5,1.5,BALANCE,0.5630370044132325,HOLD
REPLAY_000004,NQM6.CME@RITHMIC,LONG,28370.0,28366.0,STOP,0.75,-4.25,-1.0,BALANCE,0.5381096903342528,HOLD
REPLAY_000005,ESM6.CME@RITHMIC,SHORT,7315.0,7309.0,TARGET1,-1.0,6.0,1.5,BALANCE,0.4595792543401251,HOLD
REPLAY_000006,NQM6.CME@RITHMIC,SHORT,28365.25,28359.25,TARGET1,-0.25,6.0,1.5,BALANCE,0.38814164263298745,HOLD
REPLAY_000007,ESM6.CME@RITHMIC,SHORT,7312.5,7312.5,NO_EXIT,-1.25,4.75,0.0,BALANCE,0.39238737806750673,HOLD
REPLAY_000008,ESM6.CME@RITHMIC,SHORT,7313.25,7307.25,TARGET1,-0.25,6.0,1.5,BALANCE,0.6383871520122212,HOLD
REPLAY_000009,NQM6.CME@RITHMIC,LONG,28340.0,28336.0,STOP,2.25,-4.0,-1.0,BALANCE,0.6037648749632197,HOLD
REPLAY_000010,NQM6.CME@RITHMIC,LONG,28333.0,28339.0,TARGET1,6.75,-1.75,1.5,BALANCE,0.8294212393268052,HOLD
REPLAY_000011,NQM6.CME@RITHMIC,LONG,28335.25,28331.25,STOP,0.0,-4.0,-1.0,BALANCE,0.47796130470776454,HOLD
REPLAY_000012,NQM6.CME@RITHMIC,LONG,28323.0,28319.0,STOP,0.25,-4.0,-1.0,BALANCE,0.4815862854529299,HOLD
REPLAY_000013,ESM6.CME@RITHMIC,SHORT,7308.25,7308.25,NO_EXIT,-3.5,3.5,0.0,BALANCE,0.5780014637544387,HOLD
REPLAY_000014,ESM6.CME@RITHMIC,SHORT,7308.25,7308.25,NO_EXIT,-3.5,4.0,0.0,BALANCE,0.7704474985226759,HOLD
REPLAY_000015,NQM6.CME@RITHMIC,LONG,28319.0,28325.0,TARGET1,6.0,-2.0,1.5,BALANCE,0.45550793084073243,HOLD
REPLAY_000016,NQM6.CME@RITHMIC,LONG,28322.75,28318.75,STOP,2.0,-4.0,-1.0,BALANCE,0.3296660712906861,HOLD
REPLAY_000017,ESM6.CME@RITHMIC,SHORT,7308.25,7308.25,NO_EXIT,-3.5,4.0,0.0,BALANCE,0.8036083889036331,HOLD
REPLAY_000018,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-2.75,4.75,0.0,BALANCE,0.28947690619011485,HOLD
REPLAY_000019,NQM6.CME@RITHMIC,SHORT,28317.0,28321.0,STOP,-4.0,1.0,-1.0,BALANCE,0.8097382200383753,HOLD
REPLAY_000020,NQM6.CME@RITHMIC,SHORT,28327.75,28331.75,STOP,-4.0,3.25,-1.0,BALANCE,0.3162390997401753,HOLD
REPLAY_000021,ESM6.CME@RITHMIC,SHORT,7311.25,7305.25,TARGET1,-0.5,6.0,1.5,BALANCE,0.3307557996698975,HOLD
REPLAY_000022,NQM6.CME@RITHMIC,SHORT,28330.0,28334.0,STOP,-5.25,0.0,-1.0,BALANCE,0.3974246640933557,HOLD
