alert_id,symbol,direction,alert_timestamp_et,entry_timestamp_et,entry_price,stop_price,target1_price,target2_price,exit_timestamp_et,exit_price,outcome,r_multiple,holding_seconds,mfe,mae,confidence,tape_acceleration_score,continuation_quality_score,participation_ratio,regime,reason_codes,absorption_level,reclaim_level,displacement_ticks
DEDUP_001,ESM6.CME@RITHMIC,LONG,2026-05-05T12:42:32.481344,2026-05-05T12:42:32.481344,727.75,720.47,735.03,742.3,2026-05-05T12:42:32.481344,727.75,TIMEOUT,0.0,300,0.0,0.0,0.83,0.75,0.83,0.5,trending,sweep_detected;follow_through;trending,0.7,0.6,0
DEDUP_002,ESM6.CME@RITHMIC,LONG,2026-05-05T13:40:39.621780,2026-05-05T13:40:39.621780,2785.25,2757.4,2813.1,2840.95,2026-05-05T13:40:39.621780,2785.25,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_003,ESM6.CME@RITHMIC,LONG,2026-05-05T12:51:56.675575,2026-05-05T12:51:56.675575,6800.0,6732.0,6868.0,6936.0,2026-05-05T12:51:56.675575,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_004,ESM6.CME@RITHMIC,LONG,2026-05-05T14:00:00.161433,2026-05-05T14:00:00.161433,6800.0,6732.0,6868.0,6936.0,2026-05-05T14:00:00.161433,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_005,ESM6.CME@RITHMIC,LONG,2026-05-05T16:28:27.199823,2026-05-05T16:28:27.199823,6800.0,6732.0,6868.0,6936.0,2026-05-05T16:28:27.199823,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_006,ESM6.CME@RITHMIC,LONG,2026-05-05T14:45:01.600476,2026-05-05T14:45:01.600476,6800.0,6732.0,6868.0,6936.0,2026-05-05T14:45:01.600476,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.76,0.75,0.76,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_007,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:27:49.581164,2026-05-05T13:27:49.581164,7307.0,7380.07,7233.93,7160.86,2026-05-05T13:27:49.581164,7233.93,TARGET1_HIT,-1.0,300,-1.0,1.0,0.73,0.75,0.73,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_008,ESM6.CME@RITHMIC,LONG,2026-05-05T12:53:40.356295,2026-05-05T12:53:40.356295,7280.0,7207.2,7352.8,7425.6,2026-05-05T12:53:40.356295,7280.0,TIMEOUT,0.0,300,0.0,0.0,0.72,0.75,0.72,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_009,ESM6.CME@RITHMIC,LONG,2026-05-05T12:51:43.275846,2026-05-05T12:51:43.275846,6900.0,6831.0,6969.0,7038.0,2026-05-05T12:51:43.275846,6900.0,TIMEOUT,0.0,300,0.0,0.0,0.72,0.75,0.72,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_010,ESM6.CME@RITHMIC,LONG,2026-05-05T13:25:47.680517,2026-05-05T13:25:47.680517,6900.0,6831.0,6969.0,7038.0,2026-05-05T13:25:47.680517,6900.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
