signal_id,model,direction,mae,mfe,outcome_type,r_multiple
2026-05-04T19:06:44.405Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:49.618Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:50.421Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:51.329Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:53.508Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET1_HIT,1.0
2026-05-04T19:06:54.215Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET2_HIT,2.0
2026-05-04T19:06:55.041Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.25,TARGET2_HIT,2.0
2026-05-04T19:06:55.616Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET2_HIT,2.0
2026-05-04T19:06:56.601Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET2_HIT,2.0
2026-05-04T19:06:58.180Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:58.425Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:06:59.696Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:00.086Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:01.038Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:01.363Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:01.367Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:03.297Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:03.310Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET1_HIT,1.0
2026-05-04T19:07:03.324Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:03.515Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:06.821Z,C_FOLLOWTHROUGH_CONFIRMED,LONG,0.0,1.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.466Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.636Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET2_HIT,2.0
2026-05-04T19:07:41.659Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:41.692Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
