trade_id,signal_ts_utc,gate_failure_reason,classification,pass_proximity,mae_achieved,mfe_achieved,displacement_achieved,displacement_required,missing_displacement,delta_acceleration,delta_threshold_met,volume_status,structure_break,break_distance,liquidity_pull,risk_ticks,r_multiple_if_taken,near_pass
1,2026-05-04T19:06:31.704Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,4.00,3.75,0.00,2.00,2.00,ACCELERATING,True,MEDIUM,YES,3.75,STRONG,13.50,-0.2593,False
2,2026-05-04T19:06:31.730Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2453,False
3,2026-05-04T19:06:31.744Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.50,4.25,0.75,2.00,1.25,ACCELERATING,True,HIGH,YES,4.25,STRONG,13.25,-0.2264,False
4,2026-05-04T19:06:31.774Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2453,False
5,2026-05-04T19:06:31.795Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.50,-0.2407,False
6,2026-05-04T19:06:31.817Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2453,False
7,2026-05-04T19:06:31.901Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2453,False
8,2026-05-04T19:06:31.918Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2453,False
9,2026-05-04T19:06:32.073Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2264,False
10,2026-05-04T19:06:32.092Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2264,False
11,2026-05-04T19:06:32.235Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2075,False
12,2026-05-04T19:06:32.242Z,NO_FOLLOWTHROUGH,NO_DISPLACEMENT,FAR,3.75,4.00,0.25,2.00,1.75,ACCELERATING,True,MEDIUM,YES,4.00,STRONG,13.25,-0.2075,False
13,2026-05-04T19:06:32.245Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.50,4.25,0.75,2.00,1.25,ACCELERATING,True,HIGH,YES,4.25,STRONG,13.25,-0.1887,False
14,2026-05-04T19:06:32.607Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1887,True
15,2026-05-04T19:06:32.622Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1887,True
16,2026-05-04T19:06:32.807Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1698,True
17,2026-05-04T19:06:33.525Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1698,True
18,2026-05-04T19:06:35.129Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1698,True
19,2026-05-04T19:06:35.444Z,NO_FOLLOWTHROUGH,ALMOST_PASSED,CLOSE,3.00,4.75,1.75,2.00,0.25,ACCELERATING,True,HIGH,YES,4.75,MODERATE,13.25,-0.1509,True
20,2026-05-04T19:06:38.712Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1698,True
21,2026-05-04T19:06:38.815Z,NO_FOLLOWTHROUGH,FADING_MOMENTUM,MEDIUM,3.25,4.50,1.25,2.00,0.75,ACCELERATING,True,HIGH,YES,4.50,STRONG,13.25,-0.1698,True
